Category,Item Key,Display Name,Current Emoji,Description,Expected Filename,Already Has Image
Raw Resources,ironOre,Iron Ore,🪨,Grey metallic ore - the most common resource. Smelted into iron plates.,iron_ore.png,No
Raw Resources,copperOre,Copper Ore,🟤,Reddish-brown ore. Smelted into copper plates.,copper_ore.png,No
Raw Resources,coal,Coal,⬛,Black lumpy coal. Fuels burner buildings and used in plastic production.,coal.png,No
Raw Resources,stone,Stone,⬜,Grey stone chunks. Used for bricks and walls.,stone.png,No
Raw Resources,wood,Wood,🪵,Brown wooden planks. Early fuel and construction material.,wood.png,No
Raw Resources,uraniumOre,Uranium Ore,💚,Glowing green radioactive ore. Processed in centrifuges.,uranium_ore.png,No
Raw Resources,crudeOil,Crude Oil,🖤,Black liquid oil (shown as a fluid barrel/icon). Refined into fuel products.,crude_oil.png,No
Smelted Plates,ironPlate,Iron Plate,🔩,Flat grey iron plate. Core intermediate material.,iron_plate.png,No
Smelted Plates,copperPlate,Copper Plate,🔶,Flat orange/copper plate.,copper_plate.png,No
Smelted Plates,stoneBrick,Stone Brick,🧱,Grey rectangular brick.,stone_brick.png,No
Smelted Plates,steel,Steel Plate,🪙,Shiny silver-grey steel plate. Made from 5 iron plates.,steel_plate.png,No
Basic Components,ironGear,Iron Gear,⚙️,Grey toothed gear wheel.,iron_gear_wheel.png,YES — iron_gear.png
Basic Components,ironStick,Iron Stick,📌,Two thin iron rods crossed or single rod.,iron_stick.png,No
Basic Components,copperCable,Copper Cable,🟡,Coiled orange wire/cable.,copper_cable.png,YES — copper_wire.png
Basic Components,pipe,Pipe,🔵,Grey cylindrical metal pipe.,pipe.png,No
Circuits,electronicCircuit,Electronic Circuit,💚,Green PCB board with components (classic Factorio green circuit).,electronic_circuit.png,YES — electric_circuit_green.png
Circuits,advancedCircuit,Advanced Circuit,🔸,Red PCB board - more complex than green circuit.,advanced_circuit.png,No
Circuits,processingUnit,Processing Unit,💠,Blue circuit board with multiple chips.,processing_unit.png,No
Oil & Chemicals,petroleumGas,Petroleum Gas,💨,Light blue gas/vapour icon (often shown as a flask).,petroleum_gas.png,No
Oil & Chemicals,heavyOil,Heavy Oil,🛢️,Dark brown liquid in barrel or flask.,heavy_oil.png,No
Oil & Chemicals,lightOil,Light Oil,🔆,Amber/yellow liquid in flask.,light_oil.png,No
Oil & Chemicals,sulfur,Sulfur,💛,Yellow crystalline lumps.,sulfur.png,No
Oil & Chemicals,sulfuricAcid,Sulfuric Acid,⚗️,Green/yellow corrosive liquid in flask.,sulfuric_acid.png,No
Oil & Chemicals,plasticBar,Plastic Bar,🟪,White/pale plastic rectangular bar.,plastic_bar.png,No
Oil & Chemicals,battery,Battery,🪫,Grey cylindrical battery.,battery.png,No
Oil & Chemicals,lubricant,Lubricant,🫙,Blue viscous liquid in barrel.,lubricant.png,No
Oil & Chemicals,explosives,Explosives,💥,Orange/red explosive package.,explosives.png,No
Oil & Chemicals,solidFuel,Solid Fuel,🟫,Dark orange-brown fuel brick.,solid_fuel.png,No
Engine & Robots,engineUnit,Engine Unit,🛠️,Mechanical engine block with pistons.,engine_unit.png,No
Engine & Robots,electricEngineUnit,Electric Engine Unit,🌀,Engine unit with electrical coils.,electric_engine_unit.png,No
Engine & Robots,flyingRobotFrame,Flying Robot Frame,🦿,Small robotic chassis with rotors.,flying_robot_frame.png,No
Engine & Robots,constructionRobotItem,Construction Robot,🤖,Small yellow flying construction bot.,construction_robot.png,No
Rocket & Nuclear,rocketFuel,Rocket Fuel,🚀,Orange/red liquid fuel canister.,rocket_fuel.png,No
Rocket & Nuclear,lowDensityStructure,Low Density Structure,🔹,Blue/silver lightweight structural panel.,low_density_structure.png,No
Rocket & Nuclear,rocketControlUnit,Rocket Control Unit,🎯,Blue circuit board specific to rockets.,rocket_control_unit.png,No
Rocket & Nuclear,satellite,Satellite,🛰️,Silver satellite with solar panels.,satellite.png,No
