Key,Display Name,Current Emoji,Status,Suggested Image,Notes
military,Military,⚙️,NEEDS IMAGE,,Gun turret or military generic
logistics,Logistics,🔁,CAN USE EXISTING,data/icon_imgs/inserter.png,Or transport_belt.png
landfill,Landfill,🏝️,CAN USE EXISTING,data/icon_imgs/landfill.png,
steelProcessing,Steel Processing,🪙,CAN USE EXISTING,data/icon_imgs/steel.png,
gunTurret,Gun Turret,🟢,NEEDS IMAGE,,Gun turret specific image
military2,Military 2,⚙️,NEEDS IMAGE,,Could reuse military_science_pack.png loosely
logistics2,Logistics 2,⏩,CAN USE EXISTING,data/icon_imgs/inserter.png,Same as logistics or transport_belt
scriptingTech,Scripting,📜,NEEDS IMAGE,,Script/code icon
fluidHandling,Fluid Handling,🌊,CAN USE EXISTING,data/icon_imgs/pipe.png,
concrete,Concrete,🌊,CAN USE EXISTING,data/icon_imgs/concrete.png,
oilGathering,Oil Gathering,🛢️,CAN USE EXISTING,data/icon_imgs/pump_jack.jpeg,
plastics,Plastics,🧪,CAN USE EXISTING,data/icon_imgs/plastic_bar.png,
batteryTech,Battery,🪫,CAN USE EXISTING,data/icon_imgs/battery.png,
sulfurProcessing,Sulfur Processing,💛,CAN USE EXISTING,data/icon_imgs/sulfur.png,
advancedCircuit,Advanced Circuit,💻,CAN USE EXISTING,data/icon_imgs/av_electric_circuit.png,
advancedOilProcessing,Advanced Oil Processing,⚗️,CAN USE EXISTING,data/icon_imgs/oil_refinery.png,
lubricantTech,Lubricant,🫙,CAN USE EXISTING,data/icon_imgs/lubricant.png,
railTech,Railway,🛤️,CAN USE EXISTING,data/icon_imgs/rail.png,
military3,Military 3,⚙️,NEEDS IMAGE,,Military upgrade tier
military4,Military 4,⚙️,NEEDS IMAGE,,Military upgrade tier
artillery,Artillery,⚙️,NEEDS IMAGE,,Artillery cannon image
flammables,Flammables,🔥,NEEDS IMAGE,,Flamethrower or flammable liquid
stoneWallTech,Stone Wall,🧱,CAN USE EXISTING,data/icon_imgs/stone_brick.png,
modules,Modules (base),🟣,NEEDS IMAGE,,Generic module image
productionModuleTech1,Productivity Module 1,🟣,CAN USE EXISTING,data/icon_imgs/productivity_module_1.png,
productionModuleTech2,Productivity Module 2,🟣,CAN USE EXISTING,data/icon_imgs/productivity_module_2.png,
productionModuleTech3,Productivity Module 3,🟣,CAN USE EXISTING,data/icon_imgs/productivity_module_3.png,
speedModuleTech1,Speed Module 1,🟣,CAN USE EXISTING,data/icon_imgs/speed_module_1.png,
speedModuleTech2,Speed Module 2,🟣,CAN USE EXISTING,data/icon_imgs/speed_module_2.png,
speedModuleTech3,Speed Module 3,🟣,CAN USE EXISTING,data/icon_imgs/speed_module_3.png,
beaconTech,Beacon,📡,NEEDS IMAGE,,Beacon is different from radar
processingUnitTech,Processing Unit,💠,CAN USE EXISTING,data/icon_imgs/processing_unit.png,
automation3,Automation 3,🏗️,CAN USE EXISTING,data/icon_imgs/assembler_machine_3.png,
uraniumProcessing,Getting started with uranium,⚛️,CAN USE EXISTING,data/icon_imgs/uranium_238.png,
kovarexEnrichmentTech,Kovarex Enrichment Process,⚛️,CAN USE EXISTING,data/icon_imgs/Centrifuge.png,
atomicBombTech,Big boom,⚛️,NEEDS IMAGE,,Atomic bomb image
flamethrowerTech,Flamethrower,🔥,NEEDS IMAGE,,Flamethrower weapon
landMineTech,Land Mine,💣,NEEDS IMAGE,,Land mine image
uraniumAmmoTech,Uranium Ammo,☢️,CAN USE EXISTING,data/icon_imgs/uranium_235.png,Or uranium_fuel_cell.png
nuclearPowerTech,Nuclear Reactor,🏭,CAN USE EXISTING,data/icon_imgs/nuclear_reactor.png,
oilProcessingTech,Oil Processing,⚗️,CAN USE EXISTING,data/icon_imgs/oil_refinery.png,Or petroleum_gas.png
chemicalPlantTech,Chemical Plant,⚗️,CAN USE EXISTING,data/icon_imgs/chem_plant.jpg,
lowDensityStructureTech,Low Density Structure,🪶,CAN USE EXISTING,data/icon_imgs/low_density_structure.png,
rocketFuelTech,Rocket Fuel,🔥,CAN USE EXISTING,data/icon_imgs/rocket_fuel.png,
satelliteTech,Satellite,🛰️,CAN USE EXISTING,data/icon_imgs/satellite.png,
rainbowSciencePack,Rainbow Science Pack,🌈,NEEDS IMAGE,,Rainbow/spectrum image
rocketSiloTech,Rocket Silo,🚀,CAN USE EXISTING,data/icon_imgs/rocket_silo.png,
laserTech,Laser,🔴,NEEDS IMAGE,,Laser beam or laser emitter
laserTurretTech,Laser Turret,🔴,NEEDS IMAGE,,Laser turret specific
explosivesTech,Explosives,💥,CAN USE EXISTING,data/icon_imgs/explosives.png,
gamerModule,Gamer Module,⚛️,NEEDS IMAGE,,Custom / fun image
